ResultID,Date,ProductID,CustomerID,Quantity,Revenue
1,1/1/2024,101,1,12,9600
2,1/1/2024,102,2,8,4800
3,1/1/2024,103,3,5,6000
4,1/1/2024,104,4,15,6000
5,1/1/2024,105,5,20,6000
6,1/2/2024,106,6,10,2000
7,1/2/2024,107,7,6,7200
8,1/2/2024,108,8,8,4800
9,1/2/2024,109,9,12,7200
10,1/2/2024,110,10,15,2250
11,1/3/2024,111,11,4,6000
12,1/3/2024,112,12,6,600
13,1/3/2024,113,13,10,2500
14,1/3/2024,114,14,8,480
15,1/3/2024,115,15,12,3600
16,1/4/2024,116,16,8,4000
17,1/4/2024,117,17,10,1500
18,1/4/2024,118,18,12,1440
19,1/4/2024,119,19,6,2400
20,1/4/2024,120,20,15,4500
21,1/5/2024,121,21,8,320
22,1/5/2024,122,22,10,2000
23,1/5/2024,123,23,6,900
24,1/5/2024,124,24,12,1800
25,1/5/2024,125,25,15,4500
26,1/6/2024,126,26,10,800
27,1/6/2024,127,27,8,1600
28,1/6/2024,128,28,12,1800
29,1/6/2024,129,29,6,720
30,1/6/2024,130,30,15,900
31,1/7/2024,131,31,4,400
32,1/7/2024,132,32,6,1200
33,1/7/2024,133,33,10,1000
34,1/7/2024,134,34,8,1600
35,1/7/2024,135,35,12,3600
36,1/8/2024,136,36,10,2000
37,1/8/2024,137,37,8,320
38,1/8/2024,138,38,12,1800
39,1/8/2024,139,39,6,240
40,1/8/2024,140,40,15,4500
41,1/9/2024,141,41,8,480
42,1/9/2024,142,42,10,1200
43,1/9/2024,143,43,6,480
44,1/9/2024,144,44,12,2400
45,1/9/2024,145,45,15,600
46,1/10/2024,146,46,10,800
47,1/10/2024,147,47,8,320
48,1/10/2024,148,48,12,1440
49,1/10/2024,149,49,6,360
50,1/10/2024,150,50,15,1200
51,1/11/2024,101,51,12,9600
52,1/11/2024,102,52,8,4800
53,1/11/2024,103,53,5,6000
54,1/11/2024,104,55,15,6000
55,1/11/2024,105,56,20,6000
56,1/12/2024,106,57,10,2000
57,1/12/2024,107,58,6,7200
58,1/12/2024,108,59,8,4800
59,1/12/2024,109,60,12,7200
60,1/12/2024,110,31,15,2250
61,1/13/2024,111,61,4,6000
62,1/13/2024,112,62,6,600
63,1/13/2024,113,63,10,2500
64,1/13/2024,114,64,8,480
65,1/13/2024,115,65,12,3600
66,1/14/2024,116,66,8,4000
67,1/14/2024,117,67,10,1500
68,1/14/2024,118,68,12,1440
69,1/14/2024,119,69,6,2400
70,1/14/2024,120,70,15,4500
71,1/15/2024,121,71,8,320
72,1/15/2024,122,72,10,2000
73,1/15/2024,123,73,6,900
74,1/15/2024,124,74,12,1800
75,1/15/2024,125,75,15,4500
76,1/15/2024,126,76,10,2000
77,1/15/2024,127,77,6,900
78,1/15/2024,128,78,12,1800
79,1/15/2024,128,79,15,4500
80,1/13/2024,113,80,10,2500
81,1/13/2024,114,14,8,480
82,1/13/2024,115,15,12,3600
83,1/14/2024,116,16,8,4000
84,1/14/2024,117,17,10,1500
85,1/14/2024,118,18,12,1440
86,1/14/2024,119,19,6,2400
87,1/14/2024,120,20,15,4500
88,1/15/2024,121,21,8,320
89,1/15/2024,122,22,10,2000
90,1/15/2024,123,23,6,900
91,1/15/2024,124,24,12,1800
92,1/15/2024,125,25,15,4500
93,1/15/2024,126,22,10,2000
94,1/15/2024,127,23,6,900
95,1/15/2024,128,24,12,1800
96,1/15/2024,128,25,15,4500
97,1/13/2024,114,14,8,480
98,1/13/2024,115,15,12,3600
99,1/14/2024,116,16,8,4000
100,1/14/2024,117,17,10,1500
101,1/14/2024,118,18,12,1440
102,1/14/2024,119,19,6,2400
103,1/14/2024,120,20,15,4500
104,1/15/2024,121,21,8,320
105,1/15/2024,122,22,10,2000
106,1/15/2024,123,23,6,900
107,1/15/2024,124,24,12,1800
108,1/15/2024,125,25,15,4500
109,1/15/2024,126,22,10,2000
110,1/15/2024,127,23,6,900
111,1/15/2024,128,24,12,1800
112,1/15/2024,128,25,15,4500
113,1/15/2024,124,24,12,1800
114,1/15/2024,125,25,15,4500
115,1/15/2024,126,22,10,2000
116,1/15/2024,127,23,6,900
117,1/15/2024,128,24,12,1800
118,1/15/2024,128,25,15,4500
119,1/15/2024,124,24,12,1800
120,1/15/2024,125,25,15,4500
121,1/15/2024,126,22,10,2000
122,1/15/2024,127,23,6,900
123,1/15/2024,128,24,12,1800
124,1/15/2024,128,25,15,4500
125,1/15/2024,124,24,12,1800
126,1/15/2024,125,25,15,4500
127,1/15/2024,126,22,10,2000
128,1/15/2024,127,23,6,900
129,1/15/2024,128,24,12,1800
130,1/15/2024,128,25,15,4500
131,1/15/2024,124,24,12,1800
132,1/15/2024,125,25,15,4500
